network,station,location,channel,instrument_type,latitude,longitude,sample_rate_hz,start_date,end_date
KO,SAUV,,HHZ,broadband,40.7401,30.3271,100.0,2012-02-07T00:00:00.000000Z,2016-06-14T09:43:00.000000Z
KO,SAUV,,HNE,strong_motion,40.7401,30.3271,100.0,2012-02-07T00:00:00.000000Z,
KO,SAUV,,HNN,strong_motion,40.7401,30.3271,100.0,2012-02-07T00:00:00.000000Z,
KO,SAUV,,HNZ,strong_motion,40.7401,30.3271,100.0,2012-02-07T00:00:00.000000Z,
KO,SAUV,,BHE,broadband,40.7401,30.3271,50.0,2016-06-14T09:43:00.000000Z,2016-06-29T08:55:00.000000Z
KO,SAUV,,BHN,broadband,40.7401,30.3271,50.0,2016-06-14T09:43:00.000000Z,2016-06-29T08:55:00.000000Z
KO,SAUV,,BHZ,broadband,40.7401,30.3271,50.0,2016-06-14T09:43:00.000000Z,2016-06-29T08:55:00.000000Z
KO,SAUV,,HHE,broadband,40.7401,30.3271,100.0,2016-06-29T08:55:00.000000Z,
KO,SAUV,,HHN,broadband,40.7401,30.3271,100.0,2016-06-29T08:55:00.000000Z,
KO,SAUV,,HHZ,broadband,40.7401,30.3271,100.0,2016-06-29T08:55:00.000000Z,
KO,TKR,,BHE,broadband,40.9893,27.5351,50.0,2007-05-17T00:00:00.000000Z,2011-08-19T11:00:00.000000Z
KO,TKR,,BHN,broadband,40.9893,27.5351,50.0,2007-05-17T00:00:00.000000Z,2011-08-19T11:00:00.000000Z
KO,TKR,,BHZ,broadband,40.9893,27.5351,50.0,2007-05-17T00:00:00.000000Z,2011-08-19T11:00:00.000000Z
KO,TKR,,HNE,strong_motion,40.9893,27.5351,100.0,2011-08-19T11:00:00.000000Z,2018-04-10T11:24:00.000000Z
KO,TKR,,HNN,strong_motion,40.9893,27.5351,100.0,2011-08-19T11:00:00.000000Z,2018-04-10T11:24:00.000000Z
KO,TKR,,HNZ,strong_motion,40.9893,27.5351,100.0,2011-08-19T11:00:00.000000Z,2018-04-10T11:24:00.000000Z
KO,TKR,,HNE,strong_motion,40.9893,27.5351,100.0,2018-04-10T11:24:00.000000Z,2025-02-13T14:00:00.000000Z
KO,TKR,,HNN,strong_motion,40.9893,27.5351,100.0,2018-04-10T11:24:00.000000Z,2025-02-13T14:00:00.000000Z
KO,TKR,,HNZ,strong_motion,40.9893,27.5351,100.0,2018-04-10T11:24:00.000000Z,2025-02-13T14:00:00.000000Z
