network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,CHOM,41.097,40.7612,422.0,2012-03-19T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,797.0,B
KO,KARS,40.6152,43.0937,1747.0,2000-07-06T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,554.0,C
KO,UVEZ,40.904,30.9032,550.0,2019-12-18T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,629.0,C
KO,KUMB,40.8626,27.4592,25.6,2021-06-20T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,524.0,C
KO,LADK,38.1999,32.3648,1168.0,2007-06-19T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,438.0,C
KO,SINB,40.9998,28.5392,59.0,2010-08-13T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,466.0,C
KO,GONE,40.0466,27.686,143.0,2008-06-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,440.0,C
KO,LAFA,40.7598,29.3554,38.0,2010-10-04T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,427.0,C
KO,ASYA,40.8956,27.465,2.0,2021-04-22T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,600.0,C
KO,MRMT,40.609,27.5832,213.0,2001-04-28T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,288.0,D
KO,MLAZ,39.141,42.5496,1581.0,2012-11-26T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,386.0,C
KO,KAYA,40.9468,35.7491,1050.0,2013-12-05T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,409.0,C
